9876 4000
682364 5865 7026
688590 1689 8199
683110 1115 2003
687360 2166 8423
681658 5083 2573
692617 6193 8946
685271 8131 1297
686652 7809 9590
682589 7563 6197
693716 4422 3666
680597 1480 9655
680357 2862 5349
699357 1867 8939
682934 5118 8165
683140 9527 4368
687772 8876 5056
696694 1832 2798
692621 8103 3619
685627 3059 1358
693417 7936 9929
686380 9713 2337
687091 295 9760
693220 119 4703
681143 4388 2938
693458 9102 1737
694692 2290 2194
696968 2135 843
693918 5635 535
689914 782 6664
688865 5673 5697
699319 5848 705
682742 3628 2279
697073 5552 1956
697065 2327 9725
687558 1311 7846
683352 5606 1499
683107 7046 7434
696092 6466 1885
686833 3382 3498
684795 5143 2949
690003 436 1153
696896 911 1494
692505 1494 5249
691708 1312 420
687754 803 2339
694759 3551 6413
699988 8840 620
694081 5942 3186
697768 6598 8642
685890 944 8995
698320 1311 6638
691369 7672 9667
695192 8942 7556
693301 6533 6873
688325 7055 596
692146 2307 3334
698017 6788 3679
687304 5901 9727
680298 8720 2784
682955 2348 7462
684424 5014 4791
694728 4984 985
685259 2802 7508
682055 7772 7297
695272 767 7611
681231 9359 2765
690864 8806 285
696009 7518 2347
691643 442 1985
688190 3838 7823
692791 949 8105
685862 3492 6698
686119 1466 8873
691681 6795 2827
686392 3865 9569
689434 3843 200
690780 534 9643
694103 9728 3105
693507 7054 2899
680362 5717 5000
691994 9346 345
681695 7275 6552
686224 3090 6481
698291 9715 773
697754 1196 2097
689332 741 976
695993 7180 2544
687895 9991 6855
699359 7841 5333
687715 7777 6320
696823 8451 3733
695445 4544 6869
689128 9453 8542
683572 327 3778
681062 1553 9152
686088 6340 5194
691801 6765 2095
688153 6470 2079
695494 3298 6730
680412 337 8433
697839 4325 7649
680416 5357 3150
688143 4888 3787
686802 4935 2021
695766 5144 6193
699751 7162 4029
691893 2309 9160
683934 8149 7764
697217 2138 6448
694976 2266 6014
683048 3618 8402
687416 4461 1268
695512 3069 5590
681462 5554 6059
684013 2344 5797
686665 4940 9417
689526 9602 4636
693712 2449 9816
686025 5225 7648
688229 8744 4069
697557 7536 1766
681620 3817 5689
684720 302 630
694738 750 370
682094 8258 3319
699006 2865 9293
688412 4870 77
684232 2078 2613
689925 1283 9353
689120 1798 9699
695669 8300 3926
684718 4756 7148
680396 5370 9367
682694 3395 8665
688549 1118 8701
685649 417 2525
694160 9736 5259
690662 7590 1430
697170 8793 3650
688868 5944 4122
686023 5364 6622
684474 5528 497
688745 3555 6817
681377 3598 7548
685013 7827 4708
683076 570 9691
683456 2626 8117
688114 2529 7798
689880 8176 1057
689612 5208 8117
690880 8286 1333
691435 1283 874
692551 2399 5882
683137 5262 2351
696176 274 291
681548 5667 8438
687363 7950 3645
699216 3332 5681
685513 3153 7989
683088 236 5197
691186 914 3721
682924 4939 1693
688287 1621 6703
691562 5784 284
695909 5636 6391
697030 6624 3720
684999 7201 692
697294 6005 6023
697906 4539 644
686468 2720 4928
695806 6982 2705
699116 9842 5509
695852 6020 3571
696929 7096 4719
688349 270 3388
695927 4734 3018
692659 247 6864
680041 2711 5595
692633 7379 4035
699212 8834 4133
688723 6601 9163
697309 248 3958
681070 3290 2363
694899 1537 2640
692414 5211 3820
692507 5790 9521
692924 7537 1513
685633 803 6
690480 9056 668
680672 8984 7278
686054 9811 6026
682313 492 2369
693051 5277 1747
695963 9955 5511
699266 2393 7163
692674 6000 6342
690994 2488 9379
